t,x00,x10,v00,v10,x01,x11,v01,v11,x02,x12,v02,v12,x03,x13,v03,v13,
0.0272,-0.55058,0.132473,-0.83764,0.431879,-0.536182,-0.178193,2.9697,1.31291,0.488343,0.0646634,-0.510755,-1.38858,0.512128,0.381056,1.07682,-1.87684,
0.0276,-0.551317,0.132852,-0.837016,0.428584,-0.535231,-0.177771,2.96967,1.32212,0.488159,0.0641637,-0.511726,-1.38701,0.512301,0.380755,1.07564,-1.88068,
0.028,-0.552054,0.133228,-0.836375,0.42529,-0.534281,-0.177347,2.96959,1.33133,0.487974,0.0636647,-0.512695,-1.38545,0.512473,0.380454,1.07444,-1.88451,
0.0284,-0.552789,0.133601,-0.835716,0.421998,-0.533331,-0.176919,2.96947,1.34054,0.487789,0.0631662,-0.513663,-1.38388,0.512644,0.380152,1.07325,-1.88833,
0.0288,-0.553524,0.13397,-0.83504,0.418707,-0.532381,-0.176489,2.96929,1.34973,0.487604,0.0626683,-0.514628,-1.38231,0.512816,0.37985,1.07205,-1.89215,
0.0292,-0.554259,0.134337,-0.834347,0.415419,-0.531431,-0.176055,2.96907,1.35893,0.487419,0.062171,-0.515592,-1.38075,0.512987,0.379547,1.07085,-1.89597,
0.0296,-0.554993,0.134702,-0.833637,0.412132,-0.530481,-0.175619,2.9688,1.36811,0.487233,0.0616742,-0.516554,-1.37919,0.513159,0.379243,1.06965,-1.89978,
0.03,-0.555726,0.135063,-0.832909,0.408848,-0.529531,-0.17518,2.96849,1.37729,0.487047,0.0611779,-0.517515,-1.37763,0.51333,0.378939,1.06844,-1.90358,
0.0304,-0.556459,0.135421,-0.832165,0.405566,-0.528581,-0.174737,2.96812,1.38646,0.48686,0.0606823,-0.518474,-1.37607,0.513501,0.378634,1.06723,-1.90738,
0.0308,-0.557191,0.135777,-0.831403,0.402287,-0.527631,-0.174292,2.96771,1.39562,0.486674,0.0601872,-0.519431,-1.37452,0.513671,0.378329,1.06602,-1.91117,
0.0312,-0.557922,0.136129,-0.830624,0.39901,-0.526681,-0.173844,2.96725,1.40478,0.486486,0.0596926,-0.520386,-1.37296,0.513842,0.378022,1.0648,-1.91495,
0.0316,-0.558653,0.136479,-0.829829,0.395737,-0.525732,-0.173393,2.96674,1.41392,0.486299,0.0591986,-0.52134,-1.37141,0.514012,0.377716,1.06358,-1.91873,
0.032,-0.559382,0.136826,-0.829016,0.392466,-0.524783,-0.172939,2.96619,1.42306,0.486111,0.0587052,-0.522292,-1.36986,0.514182,0.377408,1.06236,-1.9225,
0.0324,-0.560112,0.13717,-0.828186,0.389199,-0.523834,-0.172483,2.96559,1.43219,0.485923,0.0582123,-0.523242,-1.36831,0.514352,0.377101,1.06114,-1.92627,
0.0328,-0.56084,0.137511,-0.82734,0.385935,-0.522885,-0.172023,2.96494,1.4413,0.485734,0.05772,-0.524191,-1.36676,0.514522,0.376792,1.05991,-1.93003,
0.0332,-0.561568,0.137849,-0.826476,0.382674,-0.521936,-0.17156,2.96425,1.45041,0.485545,0.0572283,-0.525138,-1.36521,0.514691,0.376483,1.05868,-1.93379,
0.0336,-0.562295,0.138184,-0.825596,0.379418,-0.520988,-0.171095,2.96351,1.4595,0.485356,0.0567371,-0.526084,-1.36367,0.51486,0.376173,1.05745,-1.93754,
0.034,-0.563021,0.138517,-0.824699,0.376165,-0.520039,-0.170626,2.96272,1.46858,0.485167,0.0562464,-0.527028,-1.36213,0.515029,0.375863,1.05621,-1.94129,
0.0344,-0.563746,0.138846,-0.823785,0.372916,-0.519091,-0.170155,2.96189,1.47765,0.484977,0.0557563,-0.52797,-1.36058,0.515198,0.375552,1.05498,-1.94503,
0.0348,-0.564471,0.139173,-0.822855,0.369672,-0.518144,-0.16968,2.96101,1.48671,0.484787,0.0552668,-0.528911,-1.35905,0.515367,0.375241,1.05374,-1.94876,
