t,x0,x1, 
1.74219,1.68294,-0.0120774,
1.74375,1.68292,-0.0143724,
1.74531,1.6829,-0.0166695,
1.74688,1.68287,-0.0189688,
1.74844,1.68284,-0.0212703,
1.75,1.6828,-0.0235739,
1.75156,1.68277,-0.0258797,
1.75313,1.68272,-0.0281878,
1.75469,1.68268,-0.030498,
1.75625,1.68263,-0.0328105,
1.75781,1.68258,-0.0351252,
1.75938,1.68252,-0.0374422,
1.76094,1.68246,-0.0397614,
1.7625,1.68239,-0.042083,
1.76406,1.68233,-0.0444068,
1.76562,1.68226,-0.0467329,
1.76719,1.68218,-0.0490614,
1.76875,1.6821,-0.0513922,
1.77031,1.68202,-0.0537254,
1.77188,1.68193,-0.0560609,
1.77344,1.68184,-0.0583988,
1.775,1.68175,-0.0607392,
1.77656,1.68166,-0.0630819,
1.77813,1.68155,-0.065427,
1.77969,1.68145,-0.0677746,
1.78125,1.68134,-0.0701247,
1.78281,1.68123,-0.0724772,
1.78438,1.68112,-0.0748321,
1.78594,1.681,-0.0771896,
1.7875,1.68088,-0.0795496,
1.78906,1.68075,-0.0819122,
1.79063,1.68062,-0.0842772,
1.79219,1.68049,-0.0866448,
1.79375,1.68035,-0.089015,
1.79531,1.68021,-0.0913878,
1.79688,1.68006,-0.0937631,
1.79844,1.67991,-0.0961411,
1.8,1.67976,-0.0985217,
1.80156,1.67961,-0.100905,
1.80313,1.67945,-0.103291,
1.80469,1.67928,-0.105679,
1.80625,1.67912,-0.108071,
1.80781,1.67895,-0.110465,
1.80938,1.67877,-0.112861,
1.81094,1.67859,-0.115261,
1.8125,1.67841,-0.117663,
1.81406,1.67823,-0.120068,
1.81563,1.67804,-0.122476,
1.81719,1.67784,-0.124886,
1.81875,1.67765,-0.127299,
1.82031,1.67745,-0.129716,
1.82188,1.67724,-0.132135,
1.82344,1.67703,-0.134556,
1.825,1.67682,-0.136981,
1.82656,1.6766,-0.139409,
1.82812,1.67638,-0.141839,
1.82969,1.67616,-0.144273,
1.83125,1.67593,-0.146709,
1.83281,1.6757,-0.149148,
1.83438,1.67547,-0.151591,
1.83594,1.67523,-0.154036,
1.8375,1.67499,-0.156484,
1.83906,1.67474,-0.158935,
1.84063,1.67449,-0.16139,
1.84219,1.67424,-0.163847,
1.84375,1.67398,-0.166307,
1.84531,1.67372,-0.168771,
1.84688,1.67345,-0.171238,
1.84844,1.67318,-0.173707,
1.85,1.67291,-0.17618,
1.85156,1.67263,-0.178656,
1.85313,1.67235,-0.181135,
1.85469,1.67206,-0.183618,
1.85625,1.67178,-0.186103,
1.85781,1.67148,-0.188592,
1.85938,1.67119,-0.191084,
1.86094,1.67089,-0.193579,
1.8625,1.67058,-0.196077,
1.86406,1.67027,-0.198579,
1.86563,1.66996,-0.201084,
1.86719,1.66964,-0.203593,
1.86875,1.66932,-0.206104,
1.87031,1.669,-0.208619,
1.87188,1.66867,-0.211138,
1.87344,1.66834,-0.213659,
1.875,1.668,-0.216185,
1.87656,1.66766,-0.218713,
1.87813,1.66732,-0.221245,
1.87969,1.66697,-0.223781,
1.88125,1.66662,-0.22632,
1.88281,1.66627,-0.228862,
1.88438,1.66591,-0.231408,
1.88594,1.66554,-0.233957,
1.8875,1.66518,-0.23651,
1.88906,1.6648,-0.239067,
1.89062,1.66443,-0.241627,
1.89219,1.66405,-0.244191,
1.89375,1.66367,-0.246758,
1.89531,1.66328,-0.249329,
1.89688,1.66289,-0.251904,
1.89844,1.66249,-0.254482,
1.9,1.66209,-0.257064,
1.90156,1.66169,-0.25965,
1.90313,1.66128,-0.262239,
1.90469,1.66087,-0.264832,
1.90625,1.66045,-0.267429,
1.90781,1.66003,-0.27003,
1.90938,1.65961,-0.272634,
1.91094,1.65918,-0.275242,
1.9125,1.65875,-0.277854,
1.91406,1.65831,-0.28047,
1.91563,1.65787,-0.28309,
1.91719,1.65743,-0.285714,
1.91875,1.65698,-0.288341,
1.92031,1.65653,-0.290973,
1.92188,1.65607,-0.293608,
1.92344,1.65561,-0.296247,
1.925,1.65514,-0.298891,
1.92656,1.65467,-0.301538,
1.92813,1.6542,-0.304189,
1.92969,1.65372,-0.306845,
1.93125,1.65324,-0.309504,
1.93281,1.65276,-0.312168,
1.93438,1.65227,-0.314835,
1.93594,1.65177,-0.317507,
1.9375,1.65127,-0.320183,
1.93906,1.65077,-0.322863,
1.94063,1.65027,-0.325547,
1.94219,1.64975,-0.328235,
1.94375,1.64924,-0.330928,
1.94531,1.64872,-0.333625,
1.94688,1.6482,-0.336326,
1.94844,1.64767,-0.339031,
1.95,1.64714,-0.341741,
1.95156,1.6466,-0.344455,
1.95312,1.64606,-0.347173,
1.95469,1.64552,-0.349895,
1.95625,1.64497,-0.352622,
1.95781,1.64441,-0.355354,
1.95938,1.64386,-0.358089,
1.96094,1.6433,-0.360829,
1.9625,1.64273,-0.363574,
1.96406,1.64216,-0.366323,
1.96563,1.64158,-0.369076,
1.96719,1.64101,-0.371834,
1.96875,1.64042,-0.374597,
1.97031,1.63984,-0.377364,
1.97188,1.63924,-0.380136,
1.97344,1.63865,-0.382912,
1.975,1.63805,-0.385693,
1.97656,1.63744,-0.388478,
1.97813,1.63683,-0.391268,
1.97969,1.63622,-0.394063,
1.98125,1.6356,-0.396862,
1.98281,1.63498,-0.399667,
1.98438,1.63435,-0.402475,
1.98594,1.63372,-0.405289,
1.9875,1.63309,-0.408107,
1.98906,1.63245,-0.410931,
1.99063,1.6318,-0.413758,
1.99219,1.63115,-0.416591,
1.99375,1.6305,-0.419429,
1.99531,1.62984,-0.422271,
1.99688,1.62918,-0.425119,
1.99844,1.62851,-0.427971,
2,1.62784,-0.430828,
2.00156,1.62717,-0.433691,
2.00313,1.62649,-0.436558,
2.00469,1.6258,-0.43943,
2.00625,1.62511,-0.442307,
2.00781,1.62442,-0.445189,
2.00937,1.62372,-0.448077,
2.01094,1.62302,-0.450969,
2.0125,1.62231,-0.453866,
2.01406,1.6216,-0.456769,
2.01562,1.62089,-0.459677,
2.01719,1.62017,-0.462589,
2.01875,1.61944,-0.465508,
2.02031,1.61871,-0.468431,
2.02188,1.61798,-0.471359,
2.02344,1.61724,-0.474293,
2.025,1.6165,-0.477232,
2.02656,1.61575,-0.480176,
2.02813,1.61499,-0.483126,
2.02969,1.61424,-0.486081,
2.03125,1.61348,-0.489041,
2.03281,1.61271,-0.492007,
2.03438,1.61194,-0.494978,
2.03594,1.61116,-0.497954,
2.0375,1.61038,-0.500936,
2.03906,1.6096,-0.503923,
2.04062,1.60881,-0.506916,
2.04219,1.60801,-0.509915,
2.04375,1.60721,-0.512919,
2.04531,1.60641,-0.515928,
2.04688,1.6056,-0.518943,
2.04844,1.60479,-0.521963,
2.05,1.60397,-0.52499,
2.05156,1.60315,-0.528021,
2.05313,1.60232,-0.531059,
2.05469,1.60149,-0.534102,
2.05625,1.60065,-0.537151,
2.05781,1.59981,-0.540205,
2.05938,1.59896,-0.543266,
2.06094,1.59811,-0.546332,
2.0625,1.59726,-0.549403,
2.06406,1.59639,-0.552481,
2.06563,1.59553,-0.555565,
2.06719,1.59466,-0.558654,
2.06875,1.59378,-0.561749,
2.07031,1.5929,-0.56485,
2.07187,1.59202,-0.567957,
2.07344,1.59113,-0.57107,
2.075,1.59023,-0.574189,
2.07656,1.58933,-0.577313,
2.07812,1.58843,-0.580444,
2.07969,1.58752,-0.583581,
2.08125,1.58661,-0.586724,
2.08281,1.58569,-0.589873,
2.08438,1.58476,-0.593028,
2.08594,1.58383,-0.596189,
2.0875,1.5829,-0.599356,
2.08906,1.58196,-0.602529,
2.09063,1.58102,-0.605709,
2.09219,1.58007,-0.608895,
2.09375,1.57911,-0.612087,
2.09531,1.57815,-0.615285,
2.09688,1.57719,-0.618489,
2.09844,1.57622,-0.6217,
2.1,1.57525,-0.624917,
2.10156,1.57427,-0.62814,
2.10312,1.57329,-0.63137,
2.10469,1.5723,-0.634605,
2.10625,1.5713,-0.637848,
2.10781,1.5703,-0.641097,
2.10938,1.5693,-0.644352,
2.11094,1.56829,-0.647613,
2.1125,1.56727,-0.650881,
2.11406,1.56626,-0.654156,
2.11563,1.56523,-0.657437,
2.11719,1.5642,-0.660724,
2.11875,1.56317,-0.664018,
2.12031,1.56213,-0.667319,
2.12188,1.56108,-0.670626,
2.12344,1.56003,-0.67394,
